model,prompt_type,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3-8b-base,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,model role (vs control),-0.03993902439024394,0.04662825674528064,-0.13386514412078698,0.05150648325007342,0.3919020244938765
qwen3-8b-base,YES_NO_PROMPT,domain,user (high-low),-0.01904761904761909,0.025862851290162938,-0.0714285714285714,0.030952380952380953,0.4753811547113222
qwen3-8b-base,YES_NO_PROMPT,domain,model (high-low),0.004761904761904745,0.026464296942402574,-0.0452380952380953,0.05714285714285716,0.8782804298925269
qwen3-8b-base,YES_NO_PROMPT,domain,user role (vs control),0.04285714285714293,0.05390408726503878,-0.06190476190476191,0.14883928571428584,0.42989252686828294
qwen3-8b-base,YES_NO_PROMPT,domain,model role (vs control),0.05238095238095242,0.049338981174702784,-0.042857142857142816,0.15000000000000002,0.30992251937015747
qwen3-8b-base,YES_NO_PROMPT,irrel,user (high-low),0.03273809523809523,0.014569230208673086,0.004761904761904745,0.06071428571428572,0.02499375156210947
qwen3-8b-base,YES_NO_PROMPT,irrel,model (high-low),0.04761904761904767,0.014615665562578989,0.017857142857142905,0.07559523809523805,0.0024993751562109472
qwen3-8b-base,YES_NO_PROMPT,irrel,user role (vs control),0.017559523809523858,0.0490957131141158,-0.07679315476190471,0.11489583333333342,0.7368157960509872
qwen3-8b-base,YES_NO_PROMPT,irrel,model role (vs control),-0.0005952380952380931,0.047880371940427276,-0.09226190476190477,0.09494791666666658,0.9712571857035741
qwen3-8b-nothink,Q_W_2_UNSAFE_PROMPT,domain,user (high-low),0.025316455696202556,0.017978195185303605,-0.007792207792207795,0.061728395061728336,0.1789552611847038
qwen3-8b-nothink,Q_W_2_UNSAFE_PROMPT,domain,model (high-low),0.02278481012658229,0.02134636871593507,-0.020779220779220786,0.06315789473684208,0.3264183954011497
qwen3-8b-nothink,Q_W_2_UNSAFE_PROMPT,domain,user role (vs control),-0.040506329113924044,0.020146210032708223,-0.08227848101265822,-0.0025632911392403836,0.04048987753061734
qwen3-8b-nothink,Q_W_2_UNSAFE_PROMPT,domain,model role (vs control),-0.06202531645569609,0.02499411504679701,-0.11393309222423151,-0.01604814814814804,0.00899775056235941
qwen3-8b-nothink,Q_W_2_UNSAFE_PROMPT,irrel,user (high-low),-0.016455696202531733,0.010083074989474515,-0.03658739837398377,0.003289473684210509,0.10747313171707074
qwen3-8b-nothink,Q_W_2_UNSAFE_PROMPT,irrel,model (high-low),-0.0025316455696202667,0.008416160636118834,-0.01937500000000003,0.014374999999999919,0.7563109222694326
qwen3-8b-nothink,Q_W_2_UNSAFE_PROMPT,irrel,user role (vs control),-0.05759493670886073,0.02018371923642348,-0.09718931934931516,-0.018206932261208626,0.007498125468632842
qwen3-8b-nothink,Q_W_2_UNSAFE_PROMPT,irrel,model role (vs control),-0.0620253164556962,0.020564434800720316,-0.10296052631578945,-0.02215004931777084,0.003999000249937516
qwen3-8b-nothink,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,user (high-low),-0.009756097560975507,0.019814695131364503,-0.04761904761904767,0.029268292682926744,0.6693326668332916
qwen3-8b-nothink,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,model (high-low),0.03170731707317065,0.020021095714569098,-0.0075949367088608,0.07073170731707312,0.1334666333416646
qwen3-8b-nothink,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,user role (vs control),0.07560975609756093,0.03370894814342319,0.01069642857142854,0.1439124729854894,0.021494626343414147
qwen3-8b-nothink,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,model role (vs control),0.09146341463414631,0.03316897933368778,0.028040332059947132,0.15975609756097553,0.003999000249937516
qwen3-8b-nothink,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,user (high-low),-0.0030487804878048808,0.012118900457111371,-0.027710843373493943,0.020121951219512213,0.8147963009247688
qwen3-8b-nothink,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,model (high-low),0.032317073170731736,0.013871790710035716,0.00481927710843377,0.059523809523809534,0.024493876530867282
qwen3-8b-nothink,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,user role (vs control),-0.017378048780487876,0.03134369871260985,-0.07743902439024386,0.04268513076697026,0.5808547863034241
qwen3-8b-nothink,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,model role (vs control),-0.002134146341463361,0.02983635702884551,-0.05945590287981193,0.05572289156626509,0.9442639340164959
qwen3-8b-nothink,YES_NO_PROMPT,domain,user (high-low),0.03809523809523807,0.019631290826987724,0.0,0.07619047619047625,0.05998500374906274
qwen3-8b-nothink,YES_NO_PROMPT,domain,model (high-low),0.05476190476190479,0.017256032272545522,0.021428571428571463,0.09047619047619049,0.0014996250937265683
qwen3-8b-nothink,YES_NO_PROMPT,domain,user role (vs control),-0.004761904761904634,0.03259942039925929,-0.06669642857142866,0.05952380952380942,0.8762809297675581
qwen3-8b-nothink,YES_NO_PROMPT,domain,model role (vs control),-0.0035714285714285587,0.03319175991081799,-0.06547619047619047,0.06190476190476191,0.9192701824543864
qwen3-8b-nothink,YES_NO_PROMPT,irrel,user (high-low),0.023214285714285743,0.015681954652028283,-0.0071428571428571175,0.05535714285714288,0.13446638340414896
qwen3-8b-nothink,YES_NO_PROMPT,irrel,model (high-low),0.04047619047619044,0.014087321039040767,0.014880952380952328,0.06906250000000014,0.0024993751562109472
qwen3-8b-nothink,YES_NO_PROMPT,irrel,user role (vs control),-0.028869047619047516,0.025673242884623207,-0.07708333333333328,0.021733630952381015,0.2504373906523369
qwen3-8b-nothink,YES_NO_PROMPT,irrel,model role (vs control),-0.020238095238095277,0.025648416356946088,-0.0663690476190476,0.03184523809523798,0.41439640089977503
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,domain,user (high-low),0.027848101265822822,0.016643885666763628,-0.0025316455696202667,0.06075949367088607,0.09097725568607848
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,domain,model (high-low),-0.005063291139240533,0.012949790021015309,-0.031172742919730878,0.020000000000000018,0.7753061734566359
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,domain,user role (vs control),-0.0037974683544304,0.021235357661593297,-0.04569088319088312,0.0376659011719987,0.8577855536115971
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,domain,model role (vs control),0.005063291139240533,0.023711603914264603,-0.04051218940459446,0.053749999999999964,0.886278430392402
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,irrel,user (high-low),-0.01898734177215189,0.00834408321269208,-0.036250000000000004,-0.00374999999999992,0.015496125968507872
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,irrel,model (high-low),0.0012658227848101333,0.006597056578989398,-0.011874999999999972,0.013754351265822841,0.8897775556110972
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,irrel,user role (vs control),-0.0018987341772152,0.01866586943544114,-0.03675018825301212,0.035762942226549806,0.9042739315171208
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,irrel,model role (vs control),-0.0031645569620253333,0.017671359045810704,-0.03702531645569618,0.03322902960526321,0.8282929267683079
qwen3-8b-think,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,user (high-low),-0.014634146341463428,0.018528122544732028,-0.05249999999999999,0.019512195121951237,0.4573856535866033
qwen3-8b-think,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,model (high-low),0.02195121951219514,0.015256859877783087,-0.007499999999999951,0.051851851851851816,0.1759560109972507
qwen3-8b-think,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,user role (vs control),0.03414634146341455,0.03430814136346922,-0.03250075301204817,0.10249669312169328,0.3339165208697826
